,Local Gov Name,Local Gov Logo,Atlas Admin Link
1191,"City of South Fulton, GA",https://drive.google.com/file/d/1obAIGjo4gv5i9cO_3sOWoyivc9Mz0gq6/view?usp=sharing,
,CAL Fire,https://drive.google.com/file/d/1RL-rsKsA37nLL_0z6xUehlhsgDwQq3AG/view?usp=sharing,
308,"City of Olathe, KS",https://drive.google.com/file/d/1D3c-ZX2IbjSy7ML2reKd8AH6JB8tAJQg/view?usp=sharing,https://the-atlas.com/admin/affiliations/308/edit
1761,"Laguna Beach, CA",https://drive.google.com/file/d/1JvR64nKjfXDgD_n6sj78Z0LaXTIZCzNm/view?usp=sharing,https://the-atlas.com/admin/affiliations/1761/edit
1926,"City of Vancouver, WA",,
922,"City of Tacoma, WA",,https://the-atlas.com/admin/affiliations/922/edit
356,"City of Montgomery, Ohio",,https://the-atlas.com/admin/affiliations/356/edit
1639,Montgomery County,,https://the-atlas.com/admin/affiliations/1639/edit
1226,"Milwaukee County, WI",,https://the-atlas.com/admin/affiliations/1226/edit
1623,"Harris County, TX",,https://the-atlas.com/admin/affiliations/1623/edit
910,"City of Eugene, OR",,https://the-atlas.com/admin/affiliations/910/edit
549,"City of Salt Lake City, UT",,https://the-atlas.com/admin/affiliations/549/edit
1065,"City of Middletown, CT",,https://the-atlas.com/admin/affiliations/1065/edit
974,Camden County Board of Commissioners,,https://the-atlas.com/admin/affiliations/974/edit
1099,"City of St. George, UT",,https://the-atlas.com/admin/affiliations/1099/edit
75,"City of Chicago, IL",,https://the-atlas.com/admin/affiliations/75/edit
,City of Sherman,sherman-ca,
774,"City of Mount Vernon, NY",,https://the-atlas.com/admin/affiliations/774/edit
,Town of Glendale Heights,,
,City of Fountain Hills,fountain-hills-az,
1261,Washington DC,,https://the-atlas.com/admin/affiliations/1261/edit
,Town of Edinburgh,,
1390,"Village of West Dundee, IL",,https://the-atlas.com/admin/affiliations/1390/edit
1055,"City of Marietta, GA",,https://the-atlas.com/admin/affiliations/1055/edit
543,"City of Pueblo, CO",,https://the-atlas.com/admin/affiliations/543/edit
